str,en,vi,
home_page_title,Flutter Demo Home Page,Màn hình chính,
count_title,You have pushed the button this many times:,Bạn đã ấn nút nhấn này nhiều lần:,
increment,Increment,"TAGNE,AWHYF,SDJKAS  ",
/// Extended
TEXT_0001,Login,Connexion
TEXT_0002,Username,Identifiant
TEXT_0003,Work email,Email professionnel
TEXT_0004,Password,Password
TEXT_0005,Password,Mot de passe 
TEXT_0006,Remember me,Se souvenir de moi
TEXT_0007,Forgot password,Mot de passe oublié
TEXT_0008,Sign in,Se connecter
TEXT_0009,No account yet?,Pas encore de compte?
TEXT_0010,Sign up,S'inscrire
TEXT_0011,Administrator,Administrateur 
TEXT_0012,Dashboard,Dashboard
TEXT_0013,Favorites:,Favoris :
TEXT_0014,Real estate - Work & Contracts,Parc immobilier - Travaux & Contrats
TEXT_0015,Asset Park,Parc Actifs
TEXT_0016,Asset request,Demande de biens
TEXT_0017,User management,Gestion des utilisateurs
TEXT_0018,Reports,Rapports
TEXT_0019,Settings,Paramètres
TEXT_0020,My account,Mon compte
TEXT_0021,Logout,Déconnexion
TEXT_0022,Minimize,Réduire
TEXT_0023,Categories,Catégories
TEXT_0024,My requests,Mes demandes
TEXT_0025,Real estate park,Parc immobilier
TEXT_0026,Contracts,Contrats
TEXT_0027,Interventions,Interventions
TEXT_0028,Asset list,Liste des actifs
TEXT_0029,Depreciations,Dépreciations
TEXT_0030,Real estate park report,Rapport parc immobilier
TEXT_0031,Asset report,Rapport d'actifs
TEXT_0032,Request report,Rapport des demandes
TEXT_0033,General settings,Paramètres généraux
TEXT_0034,Section settings,Paramètres de rubriques
TEXT_0035,Request settings,Paramètres des demandes
TEXT_0036,Informational,Informationnel
TEXT_0037,Furniture,Mobilier
TEXT_0038,Home appliances,Electroménager
TEXT_0039,Tools,Outillage
TEXT_0040,Storage & Handling,Stockage & Manutention
TEXT_0041,Type,Genre
TEXT_0042,Fridge,Frigo
TEXT_0043,Freezer,Congélateur
TEXT_0044,Microwave,Micro-onde
TEXT_0045,Water dispenser,Fontaine à eau
TEXT_0046,Coffee machine,Machine à café
TEXT_0047,Washing machine,Lave linge
TEXT_0048,Dryer,Sèche linge
TEXT_0049,Vacuum cleaner,Aspirateur
TEXT_0050,Cleaning cart,Chariot ménager
TEXT_0051,Washer,Laveuse
TEXT_0052,Air conditioner,Climatiseur
TEXT_0053,Heater,Chauffage 
TEXT_0054,Fan,Ventilateur
TEXT_0055,Kettle,Bouilloire
TEXT_0056,Oven,Four
TEXT_0057,Company,Entreprise
TEXT_0058,RFID No.,N°RFID
TEXT_0059,Reference,Référence
TEXT_0060,Quantity,Qté
TEXT_0061,Depreciation,Dépréciation
TEXT_0062,Purchase date,Date achat
TEXT_0063,Condition,Etat
TEXT_0064,Action,Action
TEXT_0065,Filtered by,Filtré par 
